0,1,2,3,4,5,label
2.400000000000000E+009,1.507302820682526E-001,1.127339377999306E-001,2.142893208656460E-004,-3.406769828870893E-003,,Corridor
2.400166666666667E+009,1.505047082901001E-001,1.105245724320412E-001,1.828247768571600E-004,-3.316438058391213E-003,,Corridor
2.400333333333334E+009,1.508447080850601E-001,1.083764657378197E-001,2.104285231325775E-004,-3.178517566993833E-003,,Corridor
2.400500000000000E+009,1.508110910654068E-001,1.057209894061089E-001,2.135221729986370E-004,-3.323454177007079E-003,,Corridor
2.400666666666667E+009,1.512280851602554E-001,1.034145653247833E-001,6.097826189943589E-005,-3.359400667250156E-003,,Corridor
2.400833333333334E+009,1.512731909751892E-001,1.006230264902115E-001,1.388344389852136E-004,-3.415275365114212E-003,,Corridor
2.401000000000000E+009,1.516866832971573E-001,9.788446873426437E-002,-4.052972508361563E-005,-3.678916487842798E-003,,Corridor
2.401166666666667E+009,1.518505513668060E-001,9.529256075620651E-002,-1.098412612918764E-004,-3.685853676870465E-003,,Corridor
2.401333333333334E+009,1.524116396903992E-001,9.258975088596344E-002,-1.941437076311559E-004,-3.822497092187405E-003,,Corridor
2.401500000000000E+009,1.529004424810410E-001,8.981398493051529E-002,-2.911035553552210E-004,-3.882438410073519E-003,,Corridor
2.401666666666667E+009,1.534481495618820E-001,8.721584826707840E-002,-7.421469781547785E-004,-3.832362359389663E-003,,Corridor
2.401833333333334E+009,1.541192978620529E-001,8.455383777618408E-002,-8.595205727033317E-004,-3.982637543231249E-003,,Corridor
2.402000000000000E+009,1.550196111202240E-001,8.207524567842484E-002,-1.302843214944005E-003,-4.082649014890194E-003,,Corridor
2.402166666666667E+009,1.559013128280640E-001,7.968858629465103E-002,-1.332358573563397E-003,-3.795952768996358E-003,,Corridor
2.402333333333334E+009,1.570491641759872E-001,7.698779553174973E-002,-1.697301398962736E-003,-3.837728640064597E-003,,Corridor
2.402500000000000E+009,1.582655757665634E-001,7.465902715921402E-002,-1.930180238559842E-003,-3.825653810054064E-003,,Corridor
2.402666666666667E+009,1.595307141542435E-001,7.259751111268997E-002,-2.045275876298547E-003,-3.506608540192246E-003,,Corridor
2.402833333333334E+009,1.609681397676468E-001,7.027196884155273E-002,-2.238930901512504E-003,-3.405770752578974E-003,,Corridor
2.403000000000000E+009,1.626432538032532E-001,6.807870417833328E-002,-2.547095762565732E-003,-3.182135755196214E-003,,Corridor
2.403166666666667E+009,1.643711626529694E-001,6.599410623311997E-002,-2.522048307582736E-003,-2.909959526732564E-003,,Corridor
2.403333333333334E+009,1.659050881862640E-001,6.388577073812485E-002,-2.509752288460732E-003,-2.885359805077314E-003,,Corridor
2.403500000000000E+009,1.676554679870606E-001,6.180422753095627E-002,-2.716427436098456E-003,-2.544172806665301E-003,,Corridor
2.403666666666667E+009,1.695642769336700E-001,6.001073122024536E-002,-2.681042766198516E-003,-2.246118849143386E-003,,Corridor
2.403833333333334E+009,1.712174266576767E-001,5.818396806716919E-002,-2.710784086957574E-003,-1.992113888263702E-003,,Corridor
2.404000000000000E+009,1.728593111038208E-001,5.665833130478859E-002,-2.788331126794219E-003,-1.842675963416696E-003,,Corridor
2.404166666666667E+009,1.746408939361572E-001,5.479303002357483E-002,-2.655782038345933E-003,-1.755667035467923E-003,,Corridor
2.404333333333334E+009,1.765822023153305E-001,5.342845246195793E-002,-2.682790160179138E-003,-1.576863927766681E-003,,Corridor
2.404500000000000E+009,1.782141029834747E-001,5.200785398483276E-002,-2.532657468691468E-003,-1.392554142512381E-003,,Corridor
2.404666666666667E+009,1.799025535583496E-001,5.087243765592575E-002,-2.621998079121113E-003,-1.498899888247252E-003,,Corridor
2.404833333333334E+009,1.817635446786881E-001,4.963773488998413E-002,-2.422532066702843E-003,-1.242584316059947E-003,,Corridor
2.405000000000000E+009,1.831924468278885E-001,4.890686646103859E-002,-2.544981660321355E-003,-1.241000252775848E-003,,Corridor
2.405166666666667E+009,1.847248375415802E-001,4.818842560052872E-002,-2.444217214360833E-003,-1.150765921920538E-003,,Corridor
2.405333333333334E+009,1.861824989318848E-001,4.749007150530815E-002,-2.428181236609817E-003,-9.442289592698216E-004,,Corridor
2.405500000000000E+009,1.876897066831589E-001,4.697947576642036E-002,-2.431171247735620E-003,-9.563335916027427E-004,,Corridor
2.405666666666667E+009,1.890006065368652E-001,4.652742668986321E-002,-2.345201093703508E-003,-1.083256211131811E-003,,Corridor
2.405833333333334E+009,1.902227401733398E-001,4.608544334769249E-002,-2.461994066834450E-003,-9.347097366116941E-004,,Corridor
2.406000000000000E+009,1.912912279367447E-001,4.583944007754326E-002,-2.514567459002137E-003,-8.780093630775809E-004,,Corridor
2.406166666666667E+009,1.925135552883148E-001,4.546666517853737E-002,-2.434876048937440E-003,-9.274344192817807E-004,,Corridor
2.406333333333334E+009,1.934290230274200E-001,4.526677355170250E-002,-2.412722213193774E-003,-8.039069944061339E-004,,Corridor
2.406500000000000E+009,1.943455934524536E-001,4.523294791579247E-002,-2.572269877418876E-003,-5.973528022877872E-004,,Corridor
2.406666666666667E+009,1.949185281991959E-001,4.514347761869431E-002,-2.501210896298289E-003,-6.743626436218619E-004,,Corridor
2.406833333333334E+009,1.955763697624207E-001,4.487788304686546E-002,-2.281436929479241E-003,-6.265929550863802E-004,,Corridor
2.407000000000000E+009,1.959587186574936E-001,4.476576298475266E-002,-2.506234683096409E-003,-5.367397097870708E-004,,Corridor
2.407166666666667E+009,1.964291483163834E-001,4.454880207777023E-002,-2.434793161228299E-003,-5.372798186726868E-004,,Corridor
2.407333333333334E+009,1.963831484317780E-001,4.451457038521767E-002,-2.508873585611582E-003,-5.244252970442176E-004,,Corridor
2.407500000000000E+009,1.964746117591858E-001,4.445729404687882E-002,-2.539602108299732E-003,-2.948449982795864E-004,,Corridor
2.407666666666667E+009,1.965428143739700E-001,4.407486692070961E-002,-2.528293058276177E-003,-2.528160111978650E-004,,Corridor
2.407833333333334E+009,1.960980445146561E-001,4.373275116086006E-002,-2.529832767322660E-003,-2.540365385357291E-004,,Corridor
2.408000000000000E+009,1.961591094732285E-001,4.349566996097565E-002,-2.647619927302003E-003,-6.002158988849260E-005,,Corridor
2.408166666666667E+009,1.955184787511826E-001,4.269604384899139E-002,-2.198476344347000E-003,-6.428320921259001E-005,,Corridor
2.408333333333334E+009,1.949703991413117E-001,4.220271483063698E-002,-2.451616106554866E-003,2.229353594884742E-005,,Corridor
2.408500000000000E+009,1.944363713264465E-001,4.226411506533623E-002,-2.688167151063681E-003,-5.565772880800068E-005,,Corridor
2.408666666666667E+009,1.937466710805893E-001,4.129745438694954E-002,-2.514258958399296E-003,5.577653428190388E-005,,Corridor
2.408833333333334E+009,1.932702064514160E-001,4.070662707090378E-002,-2.828548895195127E-003,3.088917874265462E-004,,Corridor
2.409000000000000E+009,1.923380196094513E-001,3.961052000522614E-002,-2.672727219760418E-003,3.259524237364531E-004,,Corridor
2.409166666666667E+009,1.914462596178055E-001,3.861651569604874E-002,-2.448898507282138E-003,4.213832726236433E-004,,Corridor
2.409333333333334E+009,1.906422823667526E-001,3.758176788687706E-002,-2.393948845565319E-003,7.143067778088152E-004,,Corridor
2.409500000000000E+009,1.896513700485230E-001,3.611216694116592E-002,-2.160238334909082E-003,7.293138187378645E-004,,Corridor
2.409666666666667E+009,1.885966807603836E-001,3.485807031393051E-002,-2.128958236426115E-003,7.125356351025403E-004,,Corridor
2.409833333333334E+009,1.876540780067444E-001,3.347048535943031E-002,-2.180211711674929E-003,6.639876519329846E-004,,Corridor
2.410000000000000E+009,1.867552846670151E-001,3.184047713875771E-002,-2.014287747442722E-003,7.998734363354743E-004,,Corridor
2.410166666666667E+009,1.857529282569885E-001,3.012329526245594E-002,-1.874857931397855E-003,7.914400775916874E-004,,Corridor
2.410333333333334E+009,1.848726272583008E-001,2.834023162722588E-002,-1.930629950948060E-003,7.662437274120748E-004,,Corridor
2.410500000000000E+009,1.840077042579651E-001,2.651063166558743E-002,-1.825259998440743E-003,8.682128391228616E-004,,Corridor
2.410666666666667E+009,1.829925775527954E-001,2.436927892267704E-002,-1.792494906112552E-003,8.745488594286144E-004,,Corridor
2.410833333333334E+009,1.825871765613556E-001,2.205673232674599E-002,-1.749726478010416E-003,6.621298962272704E-004,,Corridor
2.411000000000000E+009,1.818976700305939E-001,2.012793160974979E-002,-1.731263590045273E-003,6.479843286797404E-004,,Corridor
2.411166666666667E+009,1.810403913259506E-001,1.805807836353779E-002,-1.661307760514319E-003,4.838897730223835E-004,,Corridor
2.411333333333334E+009,1.808434277772903E-001,1.559544447809458E-002,-1.875736168585718E-003,6.238786154426634E-004,,Corridor
2.411500000000000E+009,1.801786124706268E-001,1.345547195523977E-002,-1.691748271696270E-003,5.841733072884381E-004,,Corridor
2.411666666666667E+009,1.801863759756088E-001,1.122412458062172E-002,-1.881921547465026E-003,4.730691725853831E-004,,Corridor
2.411833333333334E+009,1.798801720142365E-001,8.776405826210976E-003,-1.870376872830093E-003,5.001882673241198E-004,,Corridor
2.412000000000000E+009,1.800528466701508E-001,6.340333260595799E-003,-1.894670771434903E-003,3.871994267683476E-004,,Corridor
2.412166666666667E+009,1.800658851861954E-001,4.097066354006529E-003,-2.192571293562651E-003,5.187878850847483E-004,,Corridor
